X,Y
5.679489,-2.5
5.679497,-2.5
5.679504,-2.5
5.67951,-2.5
5.67951,-2.5
5.679514,-2.5
5.679517,-2.5
5.67952,-2.5
5.679523,-2.5
5.679524,-2.5
5.679524,-2.5
5.679526,-2.5
5.679527,-2.5
5.679528,-2.5
5.679529,-2.5
5.679529,-2.5
5.67953,-2.5
5.67953,-2.523544
5.67953,-2.36374
5.67953,-2.203936
5.67953,-2.044132
5.67953,-2.044132
5.67953,-1.884329
5.67953,-1.724525
5.67953,-1.564721
5.67953,-1.404917
5.67953,-1.245114
5.67953,-1.245114
5.67953,-1.08531
5.67953,-0.9255062
5.67953,-0.7657024
5.67953,-0.6058986
5.67953,-0.4460948
5.67953,-0.2862909
5.67953,-0.2862909
5.67953,-0.1264872
5.67953,0.03331664
5.67953,0.1931204
5.67953,0.3529242
5.67953,0.3529242
5.67953,0.512728
5.67953,0.6725318
5.67953,0.8323357
5.67953,0.9921395
5.67953,1.151943
5.67953,1.151943
5.67953,1.311747
5.67953,1.471551
5.67953,1.631354
5.67953,1.791158
5.67953,1.950962
5.67953,1.950962
5.67953,2.110766
5.67953,2.27057
5.67953,2.430373
5.67953,2.310448
5.67953,2.150252
5.67953,1.990055
5.67953,1.990055
5.67953,1.829859
5.67953,1.669663
5.67953,1.509467
5.67953,1.349271
5.67953,1.349271
5.67953,1.189075
5.67953,1.028878
5.67953,0.8686821
5.67953,0.708486
5.67953,0.5482898
5.67953,0.5482898
5.67953,0.3880936
5.67953,0.2278974
5.67953,0.06770119
5.67953,-0.09249501
5.67953,-0.2526912
5.67953,-0.2526912
5.67953,-0.4128874
5.67953,-0.5730836
5.67953,-0.7332798
5.67953,-0.8934759
5.67953,-1.053672
5.67953,-1.053672
5.67953,-1.213868
5.67953,-1.374065
5.67953,-1.534261
5.67953,-1.694457
5.67953,-1.854653
5.67953,-1.854653
5.67953,-2.014849
5.67953,-2.175046
5.67953,-2.335242
5.67953,-2.495438
5.700067,-2.54499
5.700067,-2.54499
5.760204,-2.396918
5.820409,-2.248873
5.880683,-2.100857
5.931083,-1.952868
5.975467,-1.801607
5.975467,-1.801607
6.003737,-1.648276
6.032749,-1.491124
6.061796,-1.333979
6.082598,-1.17684
6.09559,-1.01842
6.100546,-0.8591517
6.100546,-0.8591517
6.090635,-0.6994253
6.080726,-0.5399287
6.070805,-0.3804328
6.053733,-0.2209376
6.053733,-0.2209376
6.018606,-0.06204256
5.984068,0.09398916
5.94949,0.2500117
5.905378,0.4060251
5.905378,0.4060251
5.848053,0.5597931
5.792162,0.7095175
5.736207,0.8592179
5.67288,1.008894
5.603405,1.156052
5.525771,1.300542
5.525771,1.300542
5.435054,1.441289
5.348374,1.575579
5.261604,1.709811
5.166945,1.843985
5.065711,1.974528
5.065711,1.974528
4.953009,2.100769
4.846454,2.219929
4.7398,2.339001
4.627005,2.457987
4.507082,2.573908
4.507082,2.573908
4.392041,2.66998
4.269233,2.772343
4.146329,2.874589
4.023328,2.967618
3.895717,3.053997
3.895717,3.053997
3.763217,3.129436
3.624174,3.208403
3.485046,3.287223
3.345834,3.360899
3.204418,3.428681
3.204418,3.428681
3.060136,3.4833
2.910499,3.539749
2.760797,3.596026
2.61103,3.64292
2.458339,3.68288
2.458339,3.68288
2.303552,3.709112
2.145802,3.735651
1.988019,3.761999
1.830204,3.781926
1.671465,3.791357
1.671465,3.791357
1.511746,3.784489
1.351894,3.777419
1.19205,3.770154
1.032215,3.752254
0.8732092,3.728516
0.8732092,3.728516
0.714963,3.688475
0.5598514,3.64903
0.4047866,3.609402
0.2497688,3.559895
0.09735292,3.502056
0.09735292,3.502056
-0.05223827,3.430247
-0.19648,3.36081
-0.3406451,3.291213
-0.4847335,3.214478
-0.6259556,3.132413
-0.6259556,3.132413
-0.764294,3.035196
-0.895202,2.943005
-1.026018,2.850682
-1.156741,2.751428
-1.284172,2.645587
-1.284172,2.645587
-1.407254,2.528167
-1.523022,2.417527
-1.638693,2.306786
-1.754265,2.188318
-1.859964,2.073594
-1.859964,2.073594
-1.951572,1.955727
-2.049758,1.8292
-2.147849,1.702599
-2.238077,1.575924
-2.323557,1.445408
-2.323557,1.445408
-2.39586,1.311363
-2.471818,1.170347
-2.547695,1.029286
-2.615587,0.8881814
-2.679043,0.7438059
-2.679043,0.7438059
-2.72494,0.5971336
-2.772722,0.4442389
-2.835392,0.508517
-2.90898,0.6538852
-2.987109,0.7964407
-3.068493,0.9365537
-3.068493,0.9365537
-3.157647,1.074712
-3.2444,1.208955
-3.331243,1.343139
-3.422671,1.477266
-3.422671,1.477266
-3.522417,1.609277
-3.618873,1.736737
-3.715424,1.864126
-3.816847,1.991444
-3.919914,2.116393
-3.919914,2.116393
-4.0318,2.239624
-4.139352,2.357887
-4.247003,2.476061
-4.359361,2.594146
-4.473504,2.709862
-4.473504,2.709862
-4.595173,2.823575
-4.712068,2.932629
-4.829061,3.041578
-4.946152,3.145239
-4.935274,3.240943
-4.935274,3.240943
-4.807712,3.34664
-4.68451,3.448528
-4.561211,3.5503
-4.437816,3.657899
-4.317224,3.769187
-4.317224,3.769187
-4.199642,3.888265
-4.087222,4.001918
-3.974704,4.115475
-3.868304,4.228934
